	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2059	CHEMBL1083588	nM	13.0	CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1	6.886056647693163	<rdkit.Chem.rdchem.Mol object at 0x7f870f965f50>
2060	CHEMBL387050	nM	8000.0	O=C1c2ccccc2CN1CC(=O)N1CCC[C@H]1B(O)O	4.096910013008056	<rdkit.Chem.rdchem.Mol object at 0x7f870f965fc0>
2061	CHEMBL1243372	nM	10.0	N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O	7.0	<rdkit.Chem.rdchem.Mol object at 0x7f870f966030>
2062	CHEMBL1243184	nM	570.0	O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1	5.2441251443275085	<rdkit.Chem.rdchem.Mol object at 0x7f870f9660a0>
2063	CHEMBL1276590	nM	2300.0	N[C@@H](CC(=O)N1CCN2C(=O)OCC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O	4.638272163982407	<rdkit.Chem.rdchem.Mol object at 0x7f870f966110>
2064	CHEMBL1276619	nM	1240.0	CN1CC2CN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CCN2C1=O.O=C(O)/C=C/C(=O)O	4.906578314837765	<rdkit.Chem.rdchem.Mol object at 0x7f870f966180>
2065	CHEMBL1276682	nM	1236.0	N[C@@H](CC(=O)N1CCN2C(=O)N(Cc3ccc(F)cc3)CC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O	4.907981529247203	<rdkit.Chem.rdchem.Mol object at 0x7f870f9661f0>
2066	CHEMBL1276591	nM	1060.0	N[C@@H](CC(=O)N1CCN2C(=O)NCC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O	4.97469413473523	<rdkit.Chem.rdchem.Mol object at 0x7f870f966260>
2067	CHEMBL1276620	nM	460.0	CCN1CC2CN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CCN2C1=O.O=C(O)/C=C/C(=O)O	5.337242168318426	<rdkit.Chem.rdchem.Mol object at 0x7f870f9662d0>
2068	CHEMBL1275851	nM	360.0	COc1ccc(CN2CC3CN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCN3C2=O)cc1.O=C(O)/C=C/C(=O)O	5.443697499232712	<rdkit.Chem.rdchem.Mol object at 0x7f870f966340>
2069	CHEMBL1276650	nM	300.0	N[C@@H](CC(=O)N1CCN2C(=O)N(Cc3ccccc3)CC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O	5.522878745280337	<rdkit.Chem.rdchem.Mol object at 0x7f870f9663b0>
