SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
C[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,"CHEMBL217015",771,Done,6.67,-3.05856,"glide_grid_1X70",-5.44126,-1.02899,-0.532437,-0,-1.81244,-17.6721,-12.3417,0.765283,-0.0978276,-34.9041,-30.0138,17.5741
C[C@@H]1C(=O)NCCCN1C(=O)C[C@H]([NH3+])Cc1cc(F)ccc1F,"CHEMBL217016",772,Done,4.92,-9.40783,"glide_grid_1X70",-9.41783,-1.07771,-1.13073,-0,-2.72945,-28.9469,-22.2215,0.493,-0.192371,-89.5419,-51.1683,9.17754
C[C@@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,"CHEMBL217016",773,Done,5.13,-4.42694,"glide_grid_1X70",-6.85014,-1.01435,-1.05712,-0,-2.11042,-28.9203,-12.4235,0.708142,-0.0668411,-54.8337,-41.3438,9.81004
C[C@H](CCc1ccc(C(N)=O)cc1)NCC(=O)c1ccc(F)c(F)c1,"CHEMBL217017",774,Done,9.05,-4.21244,"glide_grid_1X70",-4.34724,-0.314148,-0.710876,-0,-1.04747,-26.6511,-10.8974,0.950779,-0.258369,-46.7242,-37.5484,6.85478
C[C@H](CCc1ccc(C(N)=O)cc1)[NH2+]CC(=O)c1ccc(F)c(F)c1,"CHEMBL217017",775,Done,6.77,-6.7081,"glide_grid_1X70",-7.6514,-1.27762,-0.72,-0,-2.36755,-29.9136,-17.1491,0.945884,-0.164072,-75.1184,-47.0627,13.0364
C[C@@H]1c2nnc(C(F)(F)F)n2CCN1C(=O)C[C@H]([NH3+])Cc1cc(F)ccc1F,"CHEMBL217051",776,Done,5.22,-9.90165,"glide_grid_1X70",-9.91345,-1.0918,-0.865499,-0,-2.50408,-37.847,-24.0701,0.336372,-0.285565,-107.46,-61.9172,6.1269
C[C@@H]1c2nnc(C(F)(F)F)n2CCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,"CHEMBL217051",777,Done,5.63,-3.27745,"glide_grid_1X70",-5.60215,-0.922615,-0.576,-0,-1.47091,-28.4996,-10.6511,0.482697,-0.0926762,-47.7721,-39.1507,11.5866
COc1ccc(NC(=O)CC(C)(C)[NH2+]CC(=O)N2CCC[C@H]2C#N)c(OC)c1OC,"CHEMBL217059",778,Done,7.69,-2.63193,"glide_grid_1X70",-2.91873,-0.717058,-0.310057,-0,0.381721,-31.084,-9.18011,0.899391,-0.241511,-42.7106,-40.2642,11.0146
COc1ccc(NC(=O)CC(C)(C)[NH2+]CC(=O)N2CCC[C@H]2C#N)cc1OC,"CHEMBL217198",782,Done,7.53,-1.72644,"glide_grid_1X70",-2.01324,-0.805718,-0.382001,-0,1.54676,-31.6468,-10.5701,1.02816,-0.232577,-35.3673,-42.2169,13.947
CC(C)(Cc1ccccc1)NC(=O)CC(C)(C)[NH2+]CC(=O)N1CCC[C@H]1C#N,"CHEMBL217212",785,Done,7.73,-2.87075,"glide_grid_1X70",-3.59585,-0.499355,-0.611079,-0,-1.45929,-8.19747,-10.4827,1.17801,-0.221859,-27.8033,-18.6802,11.4514
C[C@@H](CC(=O)NC(C)(C)c1ccccc1)[NH2+]CC(=O)N1CCC[C@H]1C#N,"CHEMBL217245",786,Done,7.65,-7.10973,"glide_grid_1X70",-7.48073,-1.70638,-0.336866,-0,-2.06954,-38.4819,-16.0809,1.19854,-0.23026,-76.8265,-54.5628,12.0562
