SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(Cc1ccc(F)cc1)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,"CHEMBL209058",697,"NO GOOD POSES FOUND",0.2,,,,,,,,,,,,,,
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(Cc2ccccc2)CCC1,"CHEMBL209127",699,"NO GOOD POSES FOUND",0.23,,,,,,,,,,,,,,
CCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,"CHEMBL209191",701,"NO GOOD POSES FOUND",0.53,,,,,,,,,,,,,,
Cc1ccc2c(c1)CN(C(=O)[C@@H]1CN[C@H](C(=O)N3CCCC3)C1)C2,"CHEMBL209981",704,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
CCCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,"CHEMBL209994",705,"NO GOOD POSES FOUND",1.05,,,,,,,,,,,,,,
O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(F)cc2C1,"CHEMBL210225",708,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
CC(C)(NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N)c1ccccc1,"CHEMBL210259",709,"NO GOOD POSES FOUND",0.09,,,,,,,,,,,,,,
O=C([C@@H]1CN[C@H](C(=O)N2CCSC2)C1)N1Cc2ccccc2C1,"CHEMBL210353",712,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
CC1(C)N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1Cc2ccccc2C1,"CHEMBL210522",714,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
O=C([C@@H]1CN[C@H](C(=O)N2CC[C@H](F)C2)C1)N1Cc2ccccc2C1,"CHEMBL210590",716,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(C(F)(F)F)cc2C1,"CHEMBL210718",718,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
