SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CN1CC[NH+]=C1c1cccc(Oc2nc(Oc3cc(C(N)=[NH2+])ccc3O)c(F)c(N(C)CC(=O)[O-])c2F)c1,"1fjs_prepared_dry_ligand",1,Done,7.28,-12.8731,"glide-grid_1fjs",-12.8985,-3.92323,-0.590075,-0,-2.95367,-50.4549,-21.0829,0.362682,-0.108998,-147.925,-71.5378,9.18309
[H]/N=C(/N)c1ccc(O)c(Oc2nc(Oc3cccc(C4=[NH+]CCN4C)c3)c(F)c(N(C)CC(=O)[O-])c2F)c1,"1fjs_prepared_dry_ligand",2,Done,6.42,-6.86099,"glide-grid_1fjs",-9.31879,-3.23435,-0.529466,-0,-0.922207,-51.9141,-17.0467,0.519944,0,-104.949,-68.9608,11.4884
[H]/N=C(\N)c1ccc(O)c(Oc2nc(Oc3cccc(C4=[NH+]CCN4C)c3)c(F)c(N(C)CC(=O)[O-])c2F)c1,"1fjs_prepared_dry_ligand",3,Done,6.86,-7.59652,"glide-grid_1fjs",-10.0543,-2.54892,-0.7417,-0,-2.00574,-49.6467,-18.4999,0.519944,-0.02057,-118.1,-68.1467,6.38355
CN1CC[NH+]=C1c1cccc(Oc2nc(Oc3cc(C(N)=[NH2+])ccc3[O-])c(F)c(N(C)CC(=O)[O-])c2F)c1,"1fjs_prepared_dry_ligand",4,Done,5.73,-7.35095,"glide-grid_1fjs",-10.0552,-3.21158,-0.585918,-0,-1.43665,-46.8974,-18.2496,0.363961,-0.102664,-116.004,-65.147,11.3955
