SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3797842",1079,Done,4.78,-3.82499,"glide_grid_1X70",-4.34489,-1.39248,-0.337522,-0,-0.415353,-39.6173,-4.21203,0.669068,-0.255926,-51.7349,-43.8293,6.03254
C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3797842",1080,Done,4.51,-4.52546,"glide_grid_1X70",-5.25846,-1.35192,-0.339508,-0,-0.428758,-38.8096,-10.7003,0.666573,-0.259321,-59.001,-49.5099,13.295
C=C1C[C@@H](C#N)N(C(=O)[C@@H]([NH3+])CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3797842",1081,Done,4.59,-6.33189,"glide_grid_1X70",-7.28469,-1.04143,-0.880112,-0,-0.934066,-35.3196,-19.2034,0.466601,-0.24919,-82.9952,-54.523,6.87831
C=C1C[C@@H](C#N)N(C(=O)[C@@H]([NH3+])CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3797842",1082,Done,5.32,-6.52376,"glide_grid_1X70",-7.92616,-1.21563,-0.44742,-0,-0.972918,-38.2957,-22.5874,0.464864,-0.452161,-94.1144,-60.8831,7.12485
C[C@H]1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3798441",1083,Done,4.85,-2.8905,"glide_grid_1X70",-3.4515,-0.553696,-0.559315,-0,-0.185792,-26.6635,-8.77114,0.664091,-0.167939,-34.5245,-35.4346,18.4812
C[C@H]1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3798441",1084,Done,4.99,-4.53263,"glide_grid_1X70",-5.29843,-0.875886,-0.45099,-0,-0.331463,-37.1061,-13.8119,0.661623,-0.374627,-57.9086,-50.918,21.4189
C[C@H]1C[C@@H](C#N)N(C(=O)[C@@H]([NH3+])CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3798441",1085,Done,5.41,-5.09863,"glide_grid_1X70",-5.97253,-1.14416,-0.40984,-0,-0.941277,-32.5601,-13.0187,0.463136,-0.359567,-67.6063,-45.5789,4.00494
C[C@H]1C[C@@H](C#N)N(C(=O)[C@@H]([NH3+])CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3798441",1086,Done,5.14,-5.20485,"glide_grid_1X70",-6.52005,-1.01578,-0.452543,-0,-1.17579,-32.5461,-16.1801,0.461419,-0.283039,-76.3553,-48.7262,5.8844
C[C@@H]1CCN(C(=O)[C@@H]([NH3+])CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3799388",1087,Done,6.18,-6.71009,"glide_grid_1X70",-7.34869,-1.22995,-0.790374,-0,-1.10546,-30.8841,-19.6704,0.509039,-0.237198,-80.9032,-50.5544,5.97889
C[C@@H]1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3799388",1088,Done,5.28,-3.70423,"glide_grid_1X70",-4.45843,-1.34859,-0.304,-0,-0.747954,-38.1892,-4.54269,0.730043,-0.197065,-51.8363,-42.7319,4.3733
C[C@@H]1CCN(C(=O)[C@@H](N)CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3799388",1089,Done,5.78,-4.48909,"glide_grid_1X70",-5.41619,-1.1657,-0.350265,-0,-0.658304,-35.6597,-12.4686,0.727198,-0.315846,-62.1392,-48.1283,6.29465
C[C@@H]1CCN(C(=O)[C@@H]([NH3+])CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3799388",1090,Done,6.05,-6.02228,"glide_grid_1X70",-7.07028,-1.2679,-0.418804,-0,-1.23667,-32.4125,-18.1337,0.507059,-0.313293,-85.1554,-50.5462,3.12369
C=C1CCN(C(=O)[C@@H]([NH3+])CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3800113",1091,Done,5.25,-6.56198,"glide_grid_1X70",-7.25218,-1.14613,-0.829708,-0,-1.27556,-29.81,-18.8535,0.513034,-0.195297,-77.6522,-48.6634,7.45133
C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3800113",1092,Done,4.87,-3.52718,"glide_grid_1X70",-4.22598,-1.18804,-0.339703,-0,-0.642455,-32.9735,-5.92481,0.735784,-0.254168,-45.2584,-38.8983,8.77088
C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3800113",1093,Done,4.78,-3.9186,"glide_grid_1X70",-4.7986,-1.2415,-0.304,-0,-0.677028,-32.0434,-9.94312,0.732905,-0.215336,-52.4426,-41.9865,9.33355
C=C1CCN(C(=O)[C@@H]([NH3+])CC(=O)N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,"CHEMBL3800113",1094,Done,5.73,-7.09618,"glide_grid_1X70",-8.20408,-1.15202,-0.437064,-0,-1.18589,-34.9653,-24.9006,0.51103,-0.456783,-96.8201,-59.8659,10.2605
[NH3+][C@@H]1Cc2c(ccc3cc(Br)ccc23)O[C@H]1c1cc(F)c(F)cc1F,"CHEMBL3892233",1095,Done,1.5,-7.64185,"glide_grid_1X70",-7.82975,-1.09705,-0.705524,-0,-2.03055,-31.9634,-15.4019,0.0823005,-0.17046,-76.145,-47.3653,0.465293
N[C@@H]1Cc2c(ccc3cc(Br)ccc23)O[C@H]1c1cc(F)c(F)cc1F,"CHEMBL3892233",1096,Done,1.34,-4.34259,"glide_grid_1X70",-5.11459,-1.38057,-0.463281,-0,-1.05285,-32.9409,-4.54755,0.118096,-0.00680507,-47.5093,-37.4885,2.60301
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(CCC[NH+]1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,"CHEMBL3892718",1097,Done,6.53,-5.40449,"glide_grid_1X70",-5.43409,-0.574926,-0.598622,-0,-0.234275,-34.0059,-18.73,0.661124,-0.177608,-73.6863,-52.7358,5.98298
