SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9238",2,"NO POSES STORED FOR LIGAND",24.81,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)c1,"CHEMBL9263",4,"NO POSES STORED FOR LIGAND",8.7,,,,,,,,,,,,,,
CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCC[NH2+]2)cc1,"CHEMBL9295",5,"NO POSES STORED FOR LIGAND",12.17,,,,,,,,,,,,,,
CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9295",6,"NO POSES STORED FOR LIGAND",15.35,,,,,,,,,,,,,,
COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9408",8,"NO GOOD POSES FOUND",0.78,,,,,,,,,,,,,,
CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9433",10,"NO POSES STORED FOR LIGAND",5.84,,,,,,,,,,,,,,
CS(=O)(=O)[N-]c1ccc(O[P@@](=O)(Oc2ccc(NS(C)(=O)=O)cc2)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2)cc1,"CHEMBL9433",12,"NO POSES STORED FOR LIGAND",5.53,,,,,,,,,,,,,,
O=C([C@@H]1CCCN1)N1CCC[C@H]1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,"CHEMBL9527",20,"NO POSES STORED FOR LIGAND",11.28,,,,,,,,,,,,,,
CCCC[S+](CCCC)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2,"CHEMBL67679",23,"NO POSES STORED FOR LIGAND",5.54,,,,,,,,,,,,,,
CCCCCCCC[S+](CCCCCCCC)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)N2,"CHEMBL67680",24,"NO POSES STORED FOR LIGAND",15.04,,,,,,,,,,,,,,
O=Cc1ccc(-c2ccc(-c3cccs3)s2)s1,"CHEMBL91933",26,"INVALID ATOM(S), ETC.",0.02,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=S,"CHEMBL151999",27,"INVALID ATOM(S), ETC.",0.06,,,,,,,,,,,,,,
