,molecule_chembl_id,smiles,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
726,CHEMBL228004,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc(Cl)ccc2c1=O,15.0,6.823908740944319,2.897380000000001,87.94,393.8779999999997,4,1,6,True
727,CHEMBL389074,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccc(Cl)cc2c1=O,5.0,7.301029995663981,2.897380000000001,87.94,393.87799999999976,4,1,6,True
728,CHEMBL425483,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccc(F)cc2c1=O,4.0,7.397940008672037,2.3830800000000005,87.94,377.4229999999997,4,1,6,True
729,CHEMBL227464,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cccc(F)c2c1=O,5.0,7.301029995663981,2.3830800000000005,87.94,377.4229999999997,4,1,6,True
730,CHEMBL427257,CC1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,11.5,6.939302159646388,0.9617000000000006,75.43,325.35899999999964,6,2,3,True
731,CHEMBL439394,C[C@@H]1C(=O)N[C@H](Cc2ccccc2F)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,126.0,5.8996294548824375,2.8512000000000004,75.43,451.46399999999966,8,2,3,True
732,CHEMBL230601,CC[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](C)C(=O)N1,29.6,6.528708288941061,1.8794000000000002,75.42999999999999,371.40299999999957,8,2,3,True
733,CHEMBL230603,C[C@@H]1C(=O)N[C@H](C(F)(F)F)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,139.0,5.856985199745905,2.0317,75.43,411.3459999999997,6,2,3,True
734,CHEMBL230602,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](Cc2ccccn2)C(=O)N1,11.0,6.958607314841775,2.1071000000000004,88.32,434.4619999999997,8,2,4,True
735,CHEMBL395798,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](Cc2ccccc2F)C(=O)N1,2.77,7.557520230935552,2.8512000000000013,75.42999999999999,451.4639999999997,8,2,3,True
736,CHEMBL394837,Cc1ccccc1C[C@@H]1C(=O)N[C@H](C)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,1.49,7.826813731587726,3.0205200000000003,75.43,447.5009999999996,9,2,3,True
737,CHEMBL230497,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](CC(F)(F)F)C(=O)N1,34.3,6.464705879957229,2.4218,75.42999999999999,425.37299999999965,7,2,3,True
738,CHEMBL394836,C[C@@H]1C(=O)N[C@@H](C)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,397.0,5.401209493236885,1.4892999999999994,75.43,357.3759999999996,7,2,3,True
739,CHEMBL230496,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](C)C(=O)N1,15.1,6.82102305270683,1.4893,75.42999999999999,357.37599999999964,7,2,3,True
740,CHEMBL394594,C[C@@H]1C(=O)NCC(C)(C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,142.0,5.847711655616943,1.7369,75.43,371.40299999999957,8,2,3,True
741,CHEMBL230495,C[C@@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,143.0,5.844663962534939,2.279300000000001,75.43,425.3729999999997,7,2,3,True
742,CHEMBL230389,C[C@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,24.6,6.609064892896621,2.279300000000001,75.43,425.3729999999997,7,2,3,True
743,CHEMBL397242,CC[C@@H]1C(=O)NC[C@@H](C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,60.3,6.219682687859849,1.7369,75.43,371.40299999999957,8,2,3,True
744,CHEMBL230388,CC[C@@H]1C(=O)NC[C@H](C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,37.3,6.428291168191312,1.7369,75.43,371.40299999999957,8,2,3,True
745,CHEMBL397241,C[C@@H]1CNC(=O)[C@@H](C)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,33.0,6.481486060122113,1.3468000000000004,75.43,357.37599999999964,7,2,3,True
746,CHEMBL230387,C[C@H]1CNC(=O)[C@@H](C)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,9.7,7.013228265733755,1.3468000000000004,75.43,357.37599999999964,7,2,3,True
747,CHEMBL397010,CC1CCNC(=O)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,765.0,5.116338564846382,1.1008000000000004,75.43,343.34899999999965,6,2,3,True
