SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CCc1[nH+]c(CC(C)(C)C)c(CN)c(-c2ccc(C)cc2)c1CC(=O)[O-],"CHEMBL1672127",2518,Done,4.54,-4.6146,"glide_grid_1X70",-5.8732,-1.4165,-0.547223,-0,-1.35048,-27.89,-10.4159,0.456214,-0.0583304,-55.0624,-38.3059,4.2626
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,"CHEMBL1681802",2519,Done,4,-8.62434,"glide_grid_1X70",-8.67484,-1.30272,-0.514367,-0,-2.32874,-35.0151,-17.6887,0.300455,-0.425409,-89.2671,-52.7038,8.00128
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H]([N@H+]2CCn3c(nnc3C(F)(F)F)C2)CC1,"CHEMBL1681802",2520,Done,3.41,-7.21611,"glide_grid_1X70",-8.70011,-0.985392,-0.518173,-0,-2.05174,-34.9023,-22.8154,0.299184,-0.276565,-98.3916,-57.7176,9.44541
[NH3+][C@@H](CC(=O)N1CCS[C@H]1C(=O)NCc1ccccc1)Cc1cc(F)c(F)cc1F,"CHEMBL1681806",2521,Done,11.85,-9.12152,"glide_grid_1X70",-9.13442,-1.66392,-0.820573,-0,-1.93767,-40.3703,-20.1637,0.508428,-0.177622,-103.859,-60.534,7.37778
N[C@@H](CC(=O)N1CCS[C@H]1C(=O)NCc1ccccc1)Cc1cc(F)c(F)cc1F,"CHEMBL1681806",2522,Done,11.32,-3.05305,"glide_grid_1X70",-5.32785,-1.18787,-0.56553,-0,-1.18076,-29.5632,-10.1565,0.729364,-0.121428,-51.3678,-39.7197,7.11811
Cc1nnn2c1CN(C(=O)C[C@H]([NH3+])Cc1cc(F)c(F)cc1F)CC2,"CHEMBL1681811",2523,Done,2.73,-8.4909,"glide_grid_1X70",-8.5046,-1.17531,-0.555104,-0,-2.7887,-32.9141,-16.8261,0.426089,-0.241949,-85.6965,-49.7402,5.17934
Cc1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2,"CHEMBL1681811",2524,Done,2.7,-2.91168,"glide_grid_1X70",-5.14948,-0.895507,-0.469548,-0,-1.97035,-26.9606,-7.05571,0.611793,-0.019477,-45.2199,-34.0163,3.37944
[NH3+][C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,"CHEMBL1682974",2525,Done,5.33,-7.22508,"glide_grid_1X70",-7.52938,-0.855551,-0.682743,-0,-1.3696,-40.3245,-18.4137,0.521303,-0.364509,-93.4124,-58.7382,7.69629
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,"CHEMBL1682974",2526,Done,5.43,-4.77835,"glide_grid_1X70",-5.31875,-1.01884,-0.767935,-0,-0.860952,-38.727,-8.67627,0.747874,-0.181104,-59.7736,-47.4033,7.86571
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccccc1,"CHEMBL1682975",2527,Done,3.95,-8.41252,"glide_grid_1X70",-8.41502,-1.2943,-0.480186,-0,-2.10578,-35.659,-20.1636,0.493163,-0.220428,-85.499,-55.8226,7.79103
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccccc1C(F)(F)F,"CHEMBL1682976",2528,Done,5.7,-7.53043,"glide_grid_1X70",-7.53293,-1.242,-0.455392,-0,-1.11713,-37.6454,-19.6776,0.373138,-0.257645,-84.4616,-57.323,8.72905
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C#N)c1,"CHEMBL1682977",2529,Done,4.2,-8.05767,"glide_grid_1X70",-8.06017,-1.24946,-0.49148,-0,-1.73062,-38.3227,-18.8953,0.443032,-0.281205,-87.6605,-57.218,7.14831
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C#N)cc1,"CHEMBL1682978",2530,Done,4.26,-7.70571,"glide_grid_1X70",-7.70821,-1.09432,-0.523986,-0,-2.20279,-32.3922,-17.093,0.443032,-0.146587,-80.2953,-49.4851,5.8649
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(N)cc1,"CHEMBL1682979",2531,Done,4.59,-7.76883,"glide_grid_1X70",-7.77133,-1.07167,-0.507564,-0,-2.3001,-36.8368,-15.8499,0.462103,-0.134784,-80.1188,-52.6866,15.6488
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(OC(F)(F)F)cc1,"CHEMBL1682980",2532,Done,6.28,-7.37967,"glide_grid_1X70",-7.38217,-0.96726,-0.425504,-0,-1.38751,-32.3207,-21.1947,0.40986,-0.216527,-80.4371,-53.5153,12.2059
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C(N)=O)c1,"CHEMBL1682981",2533,Done,6.42,-8.08406,"glide_grid_1X70",-8.08656,-1.20443,-0.63761,-0,-1.49842,-37.4402,-20.0913,0.411525,-0.271928,-88.9543,-57.5315,8.12781
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C(N)=O)cc1,"CHEMBL1682982",2534,Done,6.77,-7.66661,"glide_grid_1X70",-7.66911,-1.0438,-0.449018,-0,-1.72893,-31.6983,-20.474,0.411525,-0.202875,-84.1871,-52.1723,4.94369
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(F)cc1F,"CHEMBL1682983",2535,Done,4.98,-7.50102,"glide_grid_1X70",-7.50352,-1.03039,-0.561511,-0,-1.75062,-33.7439,-17.941,0.42343,-0.206074,-82.6755,-51.685,7.46532
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(-c2cnco2)cc1,"CHEMBL1682984",2536,Done,5.62,-6.23572,"glide_grid_1X70",-6.23822,-1.05446,-0.620269,-0,-0.806865,-39.086,-13.6973,0.436918,-0.184635,-67.3269,-52.7834,22.9416
CN([C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(-c2csnn2)cc1,"CHEMBL1682985",2537,Done,4.96,-6.83027,"glide_grid_1X70",-6.83277,-1.0231,-0.506524,-0,-1.25633,-39.3583,-14.6475,0.409703,-0.291466,-75.3484,-54.0058,18.5907
