SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
O=C([C@@H]1C[C@H]([NH+]2CCN(c3ccc4ccccc4n3)CC2)CN1)N1CCSC1,"CHEMBL2058968",2994,"NO POSES STORED FOR LIGAND",6.06,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ccc4ccccc4n3)CC2)CN1)N1CCSC1,"CHEMBL2058968",2996,"NO GOOD POSES FOUND",0.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3cc[nH+]c4ccccc34)CC2)CN1)N1CCSC1,"CHEMBL2058969",3000,"NO POSES STORED FOR LIGAND",6.73,,,,,,,,,,,,,,
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc2[nH+]1,"CHEMBL2058970",3003,"NO POSES STORED FOR LIGAND",6.26,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,"CHEMBL2058971",3004,"NO POSES STORED FOR LIGAND",6.63,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,"CHEMBL2058971",3006,"NO GOOD POSES FOUND",0.22,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3cc[nH+]c4cc(Cl)ccc34)CC2)CN1)N1CCSC1,"CHEMBL2058972",3010,"NO POSES STORED FOR LIGAND",6.38,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3nccc4ccccc34)CC2)CN1)N1CCSC1,"CHEMBL2058973",3015,"NO GOOD POSES FOUND",0.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ncc(Cl)c4ccccc34)CC2)CN1)N1CCSC1,"CHEMBL2058974",3018,"NO GOOD POSES FOUND",0.16,,,,,,,,,,,,,,
N#Cc1cnc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc12,"CHEMBL2058975",3021,"NO GOOD POSES FOUND",0.18,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(-c2ccccc2)cc1,"CHEMBL2086602",3136,"NO POSES STORED FOR LIGAND",5.67,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccccc2)cc1,"CHEMBL2086603",3137,"NO POSES STORED FOR LIGAND",10.34,,,,,,,,,,,,,,
